
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 450.03;   -4.300;  -30.000;    0.000
 450.62;   -7.300;   29.000;    0.000
 451.21;  -16.400;   87.000;    0.000
 451.80;   -7.900;   25.000;    0.000
 452.39;   -9.500;   44.000;    0.000
 452.99;  -10.650;   54.000;    0.000
 453.58;   -9.650;   -5.000;    0.000
 454.17;   -1.550;   27.000;    0.000
 454.76;   -7.600;    1.000;    0.000
 455.35;   -4.100;  -19.000;    0.000
 455.95;   -7.200;   66.000;    0.000
 456.54;  -14.200;   11.000;    0.000
 457.13;   -4.300;    4.000;    0.000
 457.72;  -14.400;   40.000;    0.000
 458.31;  -24.950;   15.000;    0.000
 458.90;   -6.450;   12.000;    0.000
 459.50;   -4.550;   18.000;    0.000
 460.09;   -8.300;   45.000;    0.000
 460.68;  -12.800;   45.000;    0.000
 461.27;    1.500;   39.000;    0.000
 461.86;  -10.600;    3.000;    0.000
 462.45;   -7.150;   10.000;    0.000
 463.04;  -14.500;   47.000;    0.000
 463.64;   -8.600;   48.000;    0.000
 464.23;   -6.750;    4.000;    0.000
 464.82;   -7.650;  -29.000;    0.000
 465.41;  -15.350;   34.000;    0.000
 466.00;   -4.000;  -25.000;    0.000
 466.59;    5.500;    1.000;    0.000
 467.18;    1.000;    3.000;    0.000
 467.77;   -8.500;  -18.000;    0.000
 468.37;    8.100;  -44.000;    0.000
 468.96;  -13.800;  -14.000;    0.000
 469.55;    1.650;   -4.000;    0.000
 470.14;   -1.850;   30.000;    0.000
 470.73;   -8.550;  -14.000;    0.000
 471.32;   -0.300;   11.000;    0.000
 471.91;   -1.500;   -4.000;    0.000
 472.50;   -2.300;  -17.000;    0.000
 473.09;    8.000;    8.000;    0.000
 473.68;   -6.200;  -12.000;    0.000
 474.27;    7.800;  -11.000;    0.000
 474.86;   -0.950;   -7.000;    0.000
 475.46;   -5.100;  -35.000;    0.000
 476.05;    9.950;  -21.000;    0.000
 476.64;  -19.150;   21.000;    0.000
 477.23;  -14.850;   27.000;    0.000
 477.82;   -8.400;   30.000;    0.000
 478.41;    3.200;  -57.000;    0.000
 479.00;  -10.100;  -17.000;    0.000
 479.59;  -10.100;  -75.000;    0.000
 480.18;    7.100;  -23.000;    0.000
 480.77;   -5.950;   10.000;    0.000
 481.36;   -5.350;   39.000;    0.000
 481.95;    1.350;  -22.000;    0.000
 482.54;   -0.600;   34.000;    0.000
 483.13;    6.200;  -21.000;    0.000
 483.72;    4.000;    4.000;    0.000
 484.31;    2.800;   18.000;    0.000
 484.90;    1.400;   14.000;    0.000
 485.49;   -3.400;   60.000;    0.000
 486.08;    3.950;   41.000;    0.000
 486.67;   12.250;   13.000;    0.000
 487.26;   -5.150;   28.000;    0.000
 487.85;   -1.800;    8.000;    0.000
 488.44;    1.950;   25.000;    0.000
 489.03;   10.000;  -47.000;    0.000
 489.62;    0.150;    2.000;    0.000
 490.21;    8.000;   33.000;    0.000
 490.80;    8.000;   59.000;    0.000
 491.39;   11.000;  -27.000;    0.000
 491.98;    4.300;   38.000;    0.000
 492.57;   13.650;   -6.000;    0.000
 493.16;    7.550;   -4.000;    0.000
